Rand,Holdout,Category ,Title,Synopsis
0.567886422,Train,Female-Centered Murder Mysteries Set in 1914–1945 England,Murder Offstage: A Posie Parker Mystery,"Like your mysteries cozy and set during the Golden Age of Crime? This is the first book in the Posie Parker mysteries, although this novel can be enjoyed as a stand-alone story in its own right. Set in London in 1921, 'Murder Offstage' is full of intrigue and red herrings. This is a classic murder mystery which will appeal to fans of Agatha Christie and Downton Abbey. When Posie Parker’s childhood friend is robbed of a priceless jewel and becomes a suspect in a cold-blooded murder case, budding detective Posie vows she will clear his name. Aided by her seriously gorgeous assistant Len, Posie soon realizes things are not quite as they seem, and the darkly-glamorous world of London’s theatre and glittering nightclubs prove far more dangerous than she ever could have imagined. Just who exactly is the dangerous Lucky Lucy Gibson? And who is it she has killed in the lobby of the Ritz Hotel? And more importantly, what on earth has happened to Mr Minks, the much-loved office cat? If you love an action-packed historical cozy crime with a feisty protagonist, download a sample or buy 'Murder Offstage' now."
0.62722192,Train,Female-Centered Murder Mysteries Set in 1914–1945 England,Murder in the Afternoon,"An intricate plot in the post-WWI English countryside and Frances Brody's ""refreshingly complex heroine"" (Kirkus) combine in Murder in the Afternoon, an absorbing mystery. Dead one minute…Young Harriet and her brother Austin have always been scared of the quarry where their stone mason father works. So when they find him dead on the cold ground, they rush off quickly to look for some help. Alive the next? When help arrives, however, the quarry is deserted and there is no sign of the body. Were the children mistaken? Is their father not dead? Did he simply get up and run away? A sinister disappearing act It seems like another unusual case requiring the expertise of Kate Shackleton--and Mary Jane, the children's mother, is adamant that only she can help. But Mary Jane is hiding something--a secret from Kate's past that raises the stakes and puts both Kate and her family at risk."
0.687629337,Train,Mysteries Set in Victorian and Edwardian England,Hasty Death,"Eager to join the working classes, Lady Rose Summer has abandoned the comforts of her parents' home to become self-supporting. But life as a working woman isn't quite what Rose had imagined---long hours as a typist and nights spent in a dreary women's hostel are not very empowering when you're poor, cold, and tired. Luckily for Rose, her drudgery comes to a merciful end when she learns of the untimely death of an acquaintance. Freddy Pomfret, a silly and vacuous young man, was almost certainly up to no good before he was shot dead in his London flat. When Rose discovers incriminating evidence pointing to several members of her class, she returns to London high society in order to investigate properly. With the help of Captain Harry Cathcart and Superintendent Kerridge of Scotland Yard, Rose prepares to do the social rounds—uncovering a devious blackmail plot and an unexpected killer. Set in Britain during the Edwardian world of parties, servants, and scandal, M. C. Beaton's Hasty Death is a delightful combination of murderous intrigue and high society."
0.691416321,Train,Female-Centered Murder Mysteries Set in 1914–1945 England,A Duty to the Dead,"“Another winner....Todd again excels at vivid atmosphere and the effects of war in this specific time and place. Grade: A.” —Cleveland Plain Dealer “Readers who can’t get enough of Maisie Dobbs, the intrepid World War I battlefield nurse in Jacqueline Winspear’s novels…are bound to be caught up in the adventures of Bess Crawford.”—New York Times Book Review Charles Todd, author of the resoundingly acclaimed Ian Rutledge crime novels (“One of the best historical series being written today” —Washington Post Book World) debuts an exceptional new protagonist, World War I nurse Bess Crawford, in A Duty to the Dead. A gripping tale of perilous obligations and dark family secrets in the shadows of a nightmarish time of global conflict, A Duty to the Dead is rich in suspense, surprise, and the impeccable period atmosphere that has become a Charles Todd trademark."
0.6964827,Train,Mysteries Set in Victorian and Edwardian England,Snobbery with Violence ,"When a marriage proposal appears imminent for the beautiful -- if rebellious -- Lady Rose Summer, her father wants to know if her suitor's intentions are honorable. He calls on Captain Harry Cathcart, the impoverished younger son of a baron, to do some intelligence work on the would-be fiancee, Sir Geoffrey Blandon. After his success in uncovering Geoffrey's dishonorable motives, Harry fashions a career out of ""fixing"" things for wealthy aristocrats. So when the Marquess of Hedley finds one of his guests dead at a lavish house party, he knows just the man to call. But when Harry is caught between his client's desire for discretion and his suspicion that murder may indeed have been committed, he enlists the help of Superintendent Kerridge of the Scotland Yard and Lady Rose, also a guest at Lord Hedley's. Set in Britain and the Edwardian world of parties, servants, and scandal, M. C. Beaton's Snobbery with Violence is a delightful combination of murderous intrigue and high society."
0.712464349,Train,Historical Thrillers About Books and Art,The Venetian Betrayal,"In 323 B.C.E, having conquered Persia, Alexander the Great set his sights on Arabia, then suddenly succumbed to a strange fever. Locating his final resting place–unknown to this day–remains a tantalizing goal for both archaeologists and treasure hunters. Now the quest for this coveted prize is about to heat up. And Cotton Malone–former U.S. Justice Department agent turned rare-book dealer–will be drawn into an intense geopolitical chess game. After narrowly escaping incineration in a devastating fire that consumes a Danish museum, Cotton learns from his friend, the beguiling adventurer Cassiopeia Vitt, that the blaze was neither an accident nor an isolated incident. As part of campaign of arson intended to mask a far more diabolical design, buildings across Europe are being devoured by infernos of unnatural strength. And from the ashes of the U.S.S.R., a new nation has arisen: Former Soviet republics have consolidated into the Central Asian Federation. At its helm is Supreme Minister Irina Zovastina, a cunning despot with a talent for politics, a taste for blood sport, and the single-minded desire to surpass Alexander the Great as history’s ultimate conqueror. Backed by a secret cabal of powerbrokers, the Federation has amassed a harrowing arsenal of biological weapons. Equipped with the hellish power to decimate other nations at will, only one thing keeps Zovastina from setting in motion her death march of domination: a miraculous healing serum, kept secret by an ancient puzzle and buried with the mummified remains of Alexander the Great–in a tomb lost to the ages for more than 1,500 years. Together, Cotton and Cassiopeia must outrun and outthink the forces allied against them. Their perilous quest will take them to the shores of Denmark, deep into the venerated monuments of Venice, and finally high inside the desolate Pamir mountains of Central Asia to unravel a riddle whose solution could destroy or save millions of people–depending on who finds the lost tomb first."
0.7227726,Train,Occult and Political Mysteries Set in Medieval and Renaissance Europe,Q,"In 1517, Martin Luther nails his ninety-five theses to the door of Wittenburg Cathedral, and a dance of death begins between a radical Anabaptist with many names and a loyal papal spy known mysteriously as ""Q."" In this brilliantly conceived literary thriller set in the chaos of the Reformation-an age devastated by wars of religion-a young theology student adopts the cause of heretics and the disinherited and finds himself pursued by a relentless papal informer and heretic hunter. What begins as a personal struggle to reveal each other's identity becomes a mission that can only end in death."
0.742185122,Test,Occult and Political Mysteries Set in Medieval and Renaissance Europe,Name of the Rose,"A spectacular best seller and now a classic, The Name of the Rose catapulted Umberto Eco, an Italian professor of semiotics turned novelist, to international prominence. An erudite murder mystery set in a fourteenth-century monastery, it is not only a gripping story but also a brilliant exploration of medieval philosophy, history, theology, and logic.In 1327, Brother William of Baskerville is sent to investigate a wealthy Italian abbey whose monks are suspected of heresy. When his mission is overshadowed by seven bizarre deaths patterned on the book of Revelation, Brother William turns detective, following the trail of a conspiracy that brings him face-to-face with the abbey’s labyrinthine secrets, the subversive effects of laughter, and the medieval Inquisition. Caught in a power struggle between the emperor he serves and the pope who rules the Church, Brother William comes to see that what is at stake is larger than any mere political dispute–that his investigation is being blocked by those who fear imagination, curiosity, and the power of ideas. The Name of the Rose offers the reader not only an ingeniously constructed mystery—complete with secret symbols and coded manuscripts—but also an unparalleled portrait of the medieval world on the brink of profound transformation."
0.742382623,Train,Critically Acclaimed Mysteries Set in 1800–1950,The Shadow of the Wind,"""Gabriel García Márquez meets Umberto Eco meets Jorge Luis Borges for a sprawling magic show."" --The New York Times Book Review A New York Times Bestseller Barcelona, 1945: A city slowly heals in the aftermath of the Spanish Civil War, and Daniel, an antiquarian book dealer’s son who mourns the loss of his mother, finds solace in a mysterious book entitled The Shadow of the Wind, by one Julián Carax. But when he sets out to find the author’s other works, he makes a shocking discovery: someone has been systematically destroying every copy of every book Carax has written. In fact, Daniel may have the last of Carax’s books in existence. Soon Daniel’s seemingly innocent quest opens a door into one of Barcelona’s darkest secrets--an epic story of murder, madness, and doomed love. “ Anyone who enjoys novels that are scary, erotic, touching, tragic and thrilling should rush right out to the nearest bookstore and pick up The Shadow of the Wind. Really, you should.” --Michael Dirda, The Washington Post ""Wonderous... masterful... The Shadow of the Wind is ultimately a love letter to literature, intended for readers as passionate about storytelling as its young hero."" --Entertainment Weekly (Editor's Choice) ""One gorgeous read."" --Stephen King"
0.743875375,Test,Occult and Political Mysteries Set in Medieval and Renaissance Europe,The Hangman’s Daughter ,"Germany, 1660: When a dying boy is pulled from the river with a mark crudely tattooed on his shoulder, hangman Jakob Kuisl is called upon to investigate whether witchcraft is at play. So begins The Hangman's Daughter--the chillingly detailed, fast-paced historical thriller from German television screenwriter Oliver Pötzsch, a descendant of the Kuisls, a famous Bavarian executioner clan.Magdalena, the clever and headstrong daughter of Bavarian hangman Jakob Kuisl, lives with her father outside the village walls and is destined to be married off to another hangman’s son—except that the town physician’s son is hopelessly in love with her. And her father’s wisdom and empathy are as unusual as his despised profession. It is 1659, the Thirty Years’ War has finally ended, and there hasn’t been a witchcraft mania in decades. But now, a drowning and gruesomely injured boy, tattooed with the mark of a witch, is pulled from a river and the villagers suspect the local midwife, Martha Stechlin.Jakob Kuisl is charged with extracting a confession from her and torturing her until he gets one. Convinced she is innocent, he, Magdalena, and her would-be suitor to race against the clock to find the true killer. Approaching Walpurgisnacht, when witches are believed to dance in the forest and mate with the devil, another tattooed orphan is found dead and the town becomes frenzied. More than one person has spotted what looks like the devil—a man with a hand made only of bones. The hangman, his daughter, and the doctor’s son face a terrifying and very real enemy. Taking us back in history to a place where autopsies were blasphemous, coffee was an exotic drink, dried toads were the recommended remedy for the plague, and the devil was as real as anything, The Hangman’s Daughter brings to cinematic life the sights, sounds, and smells of seventeenth-century Bavaria, telling the engrossing story of a compassionate hangman who will live on in readers’ imaginations long after they’ve put down the novel."
0.78785521,Train,Historical Thrillers About Books and Art,Treasure of Saint-Lazare,"An old lover appears at Eddie Grant's door in Paris, launching him on a dangerous quest for the single most valuable piece of wartime Nazi loot that remains missing, a famous Raphael self-portrait -- plus the crates of Nazi gold that accompanied it, all intended to finance the Fourth Reich. Jen Wetzmuller found the letter among her father's papers after he was run down on the streets of Sarasota. Its clues take Eddie from his Paris home to Florida, where he barely escapes with his life, then back to Paris, where he must burrow into the darkest memories of the German occupation in search of the treasure. Along the way he and Jen briefly restart the fiercely passionate affair that he abandoned, to his regret, 20 years before. Most of all, Treasure of Saint-Lazare is a novel of Paris. (The painting, Raphael's ""Portrait of a Young Man,"" has been missing since 1945. The Polish government is confident it still exists.)"
0.792798908,Train,Mysteries Set in Victorian and Edwardian England,The Fleet Street Murders ,"Called ""absorbing"" (Publishers Weekly) and ""beguiling"" (The New York Times Book Review), The Fleet Street Murders finds gentleman detective Charles Lenox investigating the mysterious, simultaneous deaths of two veteran newspapermen, while engaged in a heated race for Parliament. It's Christmas, 1866, and amateur sleuth Charles Lenox, recently engaged to his best friend, Lady Jane Grey, is happily celebrating the holiday in his Mayfair townhouse. Across London, however, two journalists have just met with violent deaths_one shot, one throttled. Lenox soon involves himself in the strange case, but must leave it behind to go north to Stirrington, where he is running for Parliament. Once there, he gets a further shock when Lady Jane sends him a letter whose contents may threaten their nuptials. In London, the police apprehend two unlikely and unrelated murder suspects. From the start, Lenox has his doubts; the crimes, he is sure, are tied. But how? Racing back and forth between London and Stirrington, Lenox must negotiate the complexities of crime and politics, not to mention his imperiled engagement. But as the case mounts, Lenox learns that the person behind the murders may be closer to him_and his beloved_than he knows."
0.833060023,Test,Historical Thrillers About Books and Art,Long Time Coming,"Stephen Swan is amazed when he hears that the uncle he thought had been killed in the Blitz is actually alive. For nearly four decades, Eldritch Swan has been locked away in an Irish prison and now, at last, has been released. Shocked and suspicious, Stephen listens to the old man’s story and is caught up in a tale that begins at the dawn of World War II, when Eldritch worked for an Antwerp diamond dealer with a trove of Picassos—highly valuable paintings that later disappeared. Stephen, who finds his uncle by turns devious, charming, and brazen, then meets Rachel Banner, a beautiful American who may have inherited the Picassos—and is determined to see justice done for her family. But in this tale of revenge and redemption, justice is the ultimate illusion. Eldritch, Stephen, and the woman Stephen has fallen in love with soon find themselves fighting for their lives—against sinister forces still guarding a secret that must never be revealed."
0.859565626,Test,Historical Thrillers About Books and Art,The Botticelli Secret,"In this exhilarating cross between The Da Vinci Code and The Birth of Venus, an irrepressible young woman in 15th-century Italy must flee for her life after stumbling upon a deadly secret when she serves as a model for Botticelli… When part-time model and full-time prostitute Luciana Vetra is asked by one of her most exalted clients to pose for a painter friend, she doesn't mind serving as the model for the central figure of Flora in Sandro Botticelli's masterpiece ""Primavera."" But when the artist dismisses her without payment, Luciana impulsively steals an unfinished version of the painting--only to find that somone is ready to kill her to get it back.What could possibly be so valuable about the picture? As friends and clients are slaughtered around her, Luciana turns to the one man who has never desired her beauty, novice librarian Brother Guido. Fleeing Venice together, Luciana and Guido race through the nine cities of Renaissance Italy, pursued by ruthless foes who are determined to keep them from decoding the painting's secrets. Gloriously fresh and vivid, with a deliciously irreverent heroine, The Botticelli Secret is an irresistible blend of history, wit, and suspense."
0.865937668,Test,Critically Acclaimed Mysteries Set in 1800–1950,Darktown,"“One incendiary image ignites the next in this highly combustible procedural…written with a ferocious passion that’ll knock the wind out of you.” —The New York Times Book Review “Fine Southern storytelling meets hard-boiled crime in a tale that connects an overlooked chapter of history to our own continuing struggles with race today.” —Charles Frazier, bestselling author of Cold Mountain “This page-turner reads like the best of James Ellroy.” —Publishers Weekly, starred review “In the way the story is told coupled with its heightened racial context, Darktown reminded me of Walter Mosley or a George Pelecanos novel.” —Milwaukee Journal Sentinel “High-quality…crime fiction with a nimble sense of history…quick on its feet and vividly drawn.” —Dallas Morning News “Some books educate, some books entertain, Thomas Mullen’s Darktown is the rare book that does both.” —Huffington Post Award-winning author Thomas Mullen is a “wonderful architect of intersecting plotlines and unexpected answers”(The Washington Post) in this timely and provocative mystery and brilliant exploration of race, law enforcement, and justice in 1940s Atlanta. Responding to orders from on high, the Atlanta Police Department is forced to hire its first black officers, including war veterans Lucius Boggs and Tommy Smith. The newly minted policemen are met with deep hostility by their white peers; they aren’t allowed to arrest white suspects, drive squad cars, or set foot in the police headquarters. When a woman who was last seen in a car driven by a white man turns up dead, Boggs and Smith suspect white cops are behind it. Their investigation sets them up against a brutal cop, Dunlow, who has long run the neighborhood as his own, and his partner, Rakestraw, a young progressive who may or may not be willing to make allies across color lines. Among shady moonshiners, duplicitous madams, crooked lawmen, and the constant restrictions of Jim Crow, Boggs and Smith will risk their new jobs, and their lives, while navigating a dangerous world—a world on the cusp of great change. A vivid, smart, intricately plotted crime saga that explores the timely issues of race, law enforcement, and the uneven scales of justice."
0.869065973,Test,Female-Centered Murder Mysteries Set in 1914–1945 England,A Most Novel Revenge ,"“Well, darling, who do you suppose will turn up dead this time?” With two murder investigations behind them and their marriage at last on steady ground, Amory and Milo Ames intend to winter quietly in Italy. The couple finds their plans derailed, however, when Amory receives an urgent summons to the English countryside from her cousin Laurel. At Lyonsgate, the country house of Laurel’s friend Reginald Lyons, Amory and Milo are surprised to discover an eccentric and distinguished group of guests have also been invited, led by the notorious socialite Isobel Van Allen. After years of social exile, Isobel has returned to England to write a sequel to her scandalous first book, the thinly fictionalized account of a high society murder at the very country house to which the Ameses have been called. Her second incriminating volume, she warns the house’s occupants_all of whom were present when one of their companions was killed years ago_will tell everything that really happened that fateful night. But some secrets are meant to stay buried, and when a desperate person turns to murder, it’s up to Amory and Milo to sort through a web of scandal and lies to uncover the truth, and the identity of a killer."
0.870206784,Test,Female-Centered Murder Mysteries Set in 1914–1945 England,An Expert in Murder ,"Amory Ames is a wealthy young woman who regrets her marriage to her notoriously charming playboy husband, Milo. Looking for a change, she accepts a request for help from her former fiancé, Gil Trent, not knowing that she'll soon become embroiled in a murder investigation that will test not only her friendship with Gil, but will upset the status quo with her husband. Amory accompanies Gil to the Brightwell Hotel in an attempt to circumvent the marriage of his sister, Emmeline, to Rupert Howe, a disreputable ladies' man. Amory sees in the situation a grim reflection of her own floundering marriage. There is more than her happiness at stake, however, when Rupert is murdered and Gil is arrested for the crime. Amory is determined to prove his innocence and find the real killer, despite attempted dissuasion from the disapproving police inspector on the case. Matters are further complicated by Milo's unexpected arrival, and the two form an uneasy alliance as Amory enlists his reluctant aid in clearing Gil's name. As the stakes grow higher and the line between friend and foe becomes less clear, Amory must decide where her heart lies and catch the killer before she, too, becomes a victim.Ashley Weaver's Murder at the Brightwell is a delicious mystery in which murder invades polite society and romance springs in unexpected places."
0.878401603,Train,Critically Acclaimed Mysteries Set in 1800–1950,The Janissary Tree,"Introducing Investigator Yashim: In 1830s Istanbul, an extra-ordinary hero tackles an extraordinary plot that threatens to topple the Ottoman Empire It is 1836. Europe is modernizing, and the Ottoman Empire must follow suit. But just before the Sultan announces sweeping changes, a wave of murders threatens the fragile balance of power in his court. Who is behind them? Only one intelligence agent can be trusted to find out: Yashim Lastname, a man both brilliant and near-invisible in this world. You see, Yashim is a eunuch. He leads us into the palace's luxurious seraglios and Istanbul's teeming streets, and leans on the wisdom of a dyspeptic Polish ambassador, a transsexual dancer, and a Creole-born queen mother. And he introduces us to the Janissaries. For 400 years, they were the empire's elite soldiers, but they grew too powerful, and ten years ago, the Sultan had them crushed. Are the Janissaries staging a brutal comeback? This first book in the Investigator Yashim series is a richly entertaining tale, full of exotic history and intrigue. The Janissary Tree is the winner of the 2007 Edgar Award for best novel."
0.898723149,Test,Historical Thrillers About Books and Art,The Dante Club,"The New York Times Bestseller Boston, 1865. A series of murders, all of them inspired by scenes in Dante’s Inferno. Only an elite group of America’s first Dante scholars—Henry Wadsworth Longfellow, Oliver Wendell Holmes, James Russell Lowell, and J. T. Fields—can solve the mystery. With the police baffled, more lives endangered, and Dante’s literary future at stake, the Dante Club must shed its sheltered literary existence and find the killer."
0.901134523,Train,Critically Acclaimed Mysteries Set in 1800–1950,Life After Life,"""One of the best novels I've read this century. Kate Atkinson is a marvel. There aren't enough breathless adjectives to describe LIFE AFTER LIFE: Dazzling, witty, moving, joyful, mournful, profound."" --Gillian Flynn, author of Gone Girl  What if you could live again and again, until you got it right? On a cold and snowy night in 1910, Ursula Todd is born, the third child of a wealthy English banker and his wife. She dies before she can draw her first breath. On that same cold and snowy night, Ursula Todd is born, lets out a lusty wail, and embarks upon a life that will be, to say the least, unusual. For as she grows, she also dies, repeatedly, in any number of ways. Ursula's world is in turmoil, facing the unspeakable evil of the two greatest wars in history. What power and force can one woman exert over the fate of civilization -- if only she has the chance? Wildly inventive, darkly comic, startlingly poignant -- this is Kate Atkinson at her absolute best."
0.903108671,Test,Occult and Political Mysteries Set in Medieval and Renaissance Europe,Company of Liars,"In this extraordinary novel, Karen Maitland delivers a dazzling reinterpretation of Chaucer’s Canterbury Tales—an ingenious alchemy of history, mystery, and powerful human drama. The year is 1348. The Black Plague grips the country. In a world ruled by faith and fear, nine desperate strangers, brought together by chance, attempt to outrun the certain death that is running inexorably toward them. Each member of this motley company has a story to tell. From Camelot, the relic-seller who will become the group’s leader, to Cygnus, the one-armed storyteller . . . from the strange, silent child called Narigorm to a painter and his pregnant wife, each has a secret. None is what they seem. And one among them conceals the darkest secret of all—propelling these liars to a destiny they never saw coming. Magical, heart-quickening, and raw, Company of Liars is a work of vaulting imagination from a powerful new voice in historical fiction."
0.973545469,Test,Mysteries Set in Victorian and Edwardian England,A Perilous Undertaking,"London, 1887. Victorian adventuress and butterfly hunter Veronica Speedwell receives an invitation to visit the Curiosity Club, a ladies-only establishment for daring and intrepid women. There she meets the mysterious Lady Sundridge, who begs her to take on an impossible task—saving society art patron Miles Ramsforth from execution. Accused of the brutal murder of his artist mistress Artemisia, Ramsforth will face the hangman’s noose in a week’s time if Veronica cannot find the real killer. But Lady Sundridge is not all that she seems, and unmasking her true identity is only the first of the many secrets Veronica must uncover. Together with her natural historian colleague Stoker, Veronica races against time to find the true murderer—a ruthless villain who not only took Artemisia’s life in cold blood but is happy to see Ramsforth hang for the crime. From a Bohemian artists’ colony to a royal palace to a subterranean grotto with a decadent history, the investigation proves to be a very perilous undertaking indeed...."
0.984541228,Test,Female-Centered Murder Mysteries Set in 1914–1945 England,Murder Most Malicious,"In post-World War I England, Lady Phoebe Renshaw and her lady’s maid, Eva Huntford, step outside of their social roles and put their lives at risk to apprehend a vicious killer . . . As a difficult 1918 draws to a close, there is much to celebrate for nineteen-year-old Phoebe Renshaw and her three siblings at their beloved family estate of Foxwood Hall. The dreadful war is finally over; eldest daughter Julia’s engagement to their houseguest, the Marquis of Allerton, appears imminent; and all have gathered to enjoy peace on earth, good will toward men. But on the morning of Boxing Day, the Marquis goes missing. Not entirely missing, however, as macabre evidence of foul play turns up in gift boxes given to lady’s maid Eva Huntford and a handful of others. As the local constable suspects a footman at Foxwood Hall, Phoebe and Eva follow the clues to a different conclusion. But both young women will need to think outside the box to wrap up this case—before a cornered killer lashes out with ill will toward them . . . “Entertaining . . . the characters and scenes are highly reminiscent of TV’s Downton Abbey, but Maxwell makes Phoebe and Eva distinctive personalities in their own right.” —Publishers Weekly"
0.997949665,Test,Female-Centered Murder Mysteries Set in 1914–1945 England,In This Grave Hour,"Sunday September 3rd 1939.  At the moment Prime Minister Neville Chamberlain broadcasts to the nation Britain’s declaration of war with Germany, a senior Secret Service agent breaks into Maisie Dobbs' flat to await her return. Dr. Francesca Thomas has an urgent assignment for Maisie: to find the killer of a man who escaped occupied Belgium as a boy, some twenty-three years earlier during the Great War. In a London shadowed by barrage balloons, bomb shelters and the threat of invasion, within days another former Belgian refugee is found murdered.  And as Maisie delves deeper into the killings of the dispossessed from the “last war,"" a new kind of refugee — an evacuee from London — appears in Maisie's life. The little girl billeted at Maisie’s home in Kent does not, or cannot, speak, and the authorities do not know who the child belongs to or who might have put her on the “Operation Pied Piper” evacuee train.  They know only that her name is Anna. As Maisie’s search for the killer escalates, the country braces for what is to come.  Britain is approaching its gravest hour — and Maisie could be nearing a crossroads of her own."
,Test,Mysteries Set in Victorian and Edwardian England,A Curious Beginning,"In her thrilling new series, Deanna Raybourn, the New York Times bestselling author of the Lady Julia Grey mysteries, returns once more to Victorian England...and introduces intrepid adventuress Veronica Speedwell. London, 1887. After burying her spinster aunt, orphaned Veronica Speedwell is free to resume her world travels in pursuit of scientific inquiry—and the occasional romantic dalliance. As familiar with hunting butterflies as with fending off admirers, Veronica intends to embark upon the journey of a lifetime.But fate has other plans when Veronica thwarts her own attempted abduction with the help of an enigmatic German baron, who offers her sanctuary in the care of his friend Stoker, a reclusive and bad-tempered natural historian. But before the baron can reveal what he knows of the plot against her, he is found murdered—leaving Veronica and Stoker on the run from an elusive assailant as wary partners in search of the villainous truth."
,Test,Mysteries Set in Victorian and Edwardian England,The Arnifour Affair,"Set against the fog-shrouded backdrop of turn-of-the-century London, Gregory Harris's new historical mystery series introduces tenacious sleuth Colin Pendragon, and a case that illuminates the darkness lurking in the heart of one of England's most noble families.When a carriage bearing the Arnifour family crest--a vulture devouring a slaughtered lamb--arrives at the Kensington home of Colin Pendragon, it is an ominous beginning to a perplexing new case. Lady Arnifour's husband has been beaten to death and her niece, Elsbeth, left in a coma. Is the motive passion, revenge, or something even more sinister? Police suspicions have fallen on the groundskeeper and his son, yet the Earl's widow is convinced of their innocence. Even as Colin and his partner Ethan Pruitt delve into the muddy history of the Arnifour family, a young street urchin begs their help in finding his missing sister. Ethan, regrettably familiar with London's underbelly, urges caution, yet Colin's interest is piqued. And in a search that wends from the squalid opium dens of the East End to the salons of Embassy Row, the truth about these seemingly disparate cases will prove disquieting, dangerous, and profoundly unexpected. . ."
